mun;year;degreedays
837;2018;4233
837;2019;4233
837;2020;4233
837;2021;4201.6
837;2022;4170.2
837;2023;4138.8
837;2024;4107.4
837;2025;4076
837;2026;4044.6
837;2027;4013.2
837;2028;3981.8
837;2029;3950.4
837;2030;3919
837;2031;3913.2
837;2032;3907.4
837;2033;3901.6
837;2034;3895.8
837;2035;3890
837;2036;3884.2
837;2037;3878.4
837;2038;3872.6
837;2039;3866.8
837;2040;3861
837;2041;3846
837;2042;3831
837;2043;3816
837;2044;3801
837;2045;3786
837;2046;3771
837;2047;3756
837;2048;3741
837;2049;3726
837;2050;3711
211;2018;4233
211;2019;4233
211;2020;4233
211;2021;4202
211;2022;4171
211;2023;4140
211;2024;4109
211;2025;4078
211;2026;4047
211;2027;4016
211;2028;3985
211;2029;3954
211;2030;3923
211;2031;3916.8
211;2032;3910.6
211;2033;3904.4
211;2034;3898.2
211;2035;3892
211;2036;3885.8
211;2037;3879.6
211;2038;3873.4
211;2039;3867.2
211;2040;3861
211;2041;3845.9
211;2042;3830.8
211;2043;3815.7
211;2044;3800.6
211;2045;3785.5
211;2046;3770.4
211;2047;3755.3
211;2048;3740.2
211;2049;3725.1
211;2050;3710
536;2018;4233
536;2019;4233
536;2020;4233
536;2021;4195.9
536;2022;4158.8
536;2023;4121.7
536;2024;4084.6
536;2025;4047.5
536;2026;4010.4
536;2027;3973.3
536;2028;3936.2
536;2029;3899.1
536;2030;3862
536;2031;3856.7
536;2032;3851.4
536;2033;3846.1
536;2034;3840.8
536;2035;3835.5
536;2036;3830.2
536;2037;3824.9
536;2038;3819.6
536;2039;3814.3
536;2040;3809
536;2041;3794.1
536;2042;3779.2
536;2043;3764.3
536;2044;3749.4
536;2045;3734.5
536;2046;3719.6
536;2047;3704.7
536;2048;3689.8
536;2049;3674.9
536;2050;3660
562;2018;4233
562;2019;4233
562;2020;4233
562;2021;4209.8
562;2022;4186.6
562;2023;4163.4
562;2024;4140.2
562;2025;4117
562;2026;4093.8
562;2027;4070.6
562;2028;4047.4
562;2029;4024.2
562;2030;4001
562;2031;3994.8
562;2032;3988.6
562;2033;3982.4
562;2034;3976.2
562;2035;3970
562;2036;3963.8
562;2037;3957.6
562;2038;3951.4
562;2039;3945.2
562;2040;3939
562;2041;3923.9
562;2042;3908.8
562;2043;3893.7
562;2044;3878.6
562;2045;3863.5
562;2046;3848.4
562;2047;3833.3
562;2048;3818.2
562;2049;3803.1
562;2050;3788
922;2018;4233
922;2019;4233
922;2020;4233
922;2021;4193.5
922;2022;4154
922;2023;4114.5
922;2024;4075
922;2025;4035.5
922;2026;3996
922;2027;3956.5
922;2028;3917
922;2029;3877.5
922;2030;3838
922;2031;3832.5
922;2032;3827
922;2033;3821.5
922;2034;3816
922;2035;3810.5
922;2036;3805
922;2037;3799.5
922;2038;3794
922;2039;3788.5
922;2040;3783
922;2041;3767.9
922;2042;3752.8
922;2043;3737.7
922;2044;3722.6
922;2045;3707.5
922;2046;3692.4
922;2047;3677.3
922;2048;3662.2
922;2049;3647.1
922;2050;3632
980;2018;4233
980;2019;4233
980;2020;4233
980;2021;4211
980;2022;4189
980;2023;4167
980;2024;4145
980;2025;4123
980;2026;4101
980;2027;4079
980;2028;4057
980;2029;4035
980;2030;4013
980;2031;4007.2
980;2032;4001.4
980;2033;3995.6
980;2034;3989.8
980;2035;3984
980;2036;3978.2
980;2037;3972.4
980;2038;3966.6
980;2039;3960.8
980;2040;3955
980;2041;3940.3
980;2042;3925.6
980;2043;3910.9
980;2044;3896.2
980;2045;3881.5
980;2046;3866.8
980;2047;3852.1
980;2048;3837.4
980;2049;3822.7
980;2050;3808
604;2018;4233
604;2019;4233
604;2020;4233
604;2021;4201.6
604;2022;4170.2
604;2023;4138.8
604;2024;4107.4
604;2025;4076
604;2026;4044.6
604;2027;4013.2
604;2028;3981.8
604;2029;3950.4
604;2030;3919
604;2031;3913.2
604;2032;3907.4
604;2033;3901.6
604;2034;3895.8
604;2035;3890
604;2036;3884.2
604;2037;3878.4
604;2038;3872.6
604;2039;3866.8
604;2040;3861
604;2041;3846
604;2042;3831
604;2043;3816
604;2044;3801
604;2045;3786
604;2046;3771
604;2047;3756
604;2048;3741
604;2049;3726
604;2050;3711
418;2018;4233
418;2019;4233
418;2020;4233
418;2021;4193.5
418;2022;4154
418;2023;4114.5
418;2024;4075
418;2025;4035.5
418;2026;3996
418;2027;3956.5
418;2028;3917
418;2029;3877.5
418;2030;3838
418;2031;3832.5
418;2032;3827
418;2033;3821.5
418;2034;3816
418;2035;3810.5
418;2036;3805
418;2037;3799.5
418;2038;3794
418;2039;3788.5
418;2040;3783
418;2041;3767.9
418;2042;3752.8
418;2043;3737.7
418;2044;3722.6
418;2045;3707.5
418;2046;3692.4
418;2047;3677.3
418;2048;3662.2
418;2049;3647.1
418;2050;3632