scenario;year;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
wemp;2018;0.910;1.000;0.891;0.100;0.910;0.891;1.000;1.000;0.910
wemp;2019;0.909;1.000;0.867;0.100;0.909;0.867;1.000;1.000;0.909
wemp;2020;0.907;1.000;0.875;0.100;0.907;0.875;1.000;1.000;0.907
wemp;2021;0.904;1.000;0.778;0.100;0.904;0.778;1.000;1.000;0.904
wemp;2022;0.902;1.000;0.823;0.100;0.902;0.823;1.000;1.000;0.902
wemp;2023;0.900;1.000;0.859;0.082;0.900;0.859;1.000;1.000;0.900
wemp;2024;0.897;1.000;0.639;0.068;0.897;0.639;1.000;1.000;0.897
wemp;2025;0.895;1.000;0.627;0.050;0.895;0.627;1.000;1.000;0.895
wemp;2026;0.892;1.000;0.631;0.010;0.892;0.631;1.000;1.000;0.892
wemp;2027;0.890;1.000;0.620;0.010;0.890;0.620;1.000;1.000;0.890
wemp;2028;0.890;1.000;0.610;0.010;0.890;0.610;1.000;1.000;0.890
wemp;2029;0.890;1.000;0.600;0.010;0.890;0.600;1.000;1.000;0.890
wemp;2030;0.890;1.000;0.574;0.010;0.890;0.574;1.000;1.000;0.890
wemp;2031;0.890;1.000;0.579;0.010;0.890;0.579;1.000;1.000;0.890
wemp;2032;0.890;1.000;0.584;0.010;0.890;0.584;1.000;1.000;0.890
wemp;2033;0.890;1.000;0.589;0.010;0.890;0.589;1.000;1.000;0.890
wemp;2034;0.890;1.000;0.595;0.010;0.890;0.595;1.000;1.000;0.890
wemp;2035;0.890;1.000;0.602;0.010;0.890;0.602;1.000;1.000;0.890
wemp;2036;0.890;1.000;0.609;0.010;0.890;0.609;1.000;1.000;0.890
wemp;2037;0.890;1.000;0.617;0.010;0.890;0.617;1.000;1.000;0.890
wemp;2038;0.890;1.000;0.626;0.010;0.890;0.626;1.000;1.000;0.890
wemp;2039;0.890;1.000;0.636;0.010;0.890;0.636;1.000;1.000;0.890
wemp;2040;0.890;1.000;0.646;0.010;0.890;0.646;1.000;1.000;0.890
wemp;2041;0.890;1.000;0.657;0.010;0.890;0.657;1.000;1.000;0.890
wemp;2042;0.890;1.000;0.669;0.010;0.890;0.669;1.000;1.000;0.890
wemp;2043;0.890;1.000;0.681;0.010;0.890;0.681;1.000;1.000;0.890
wemp;2044;0.890;1.000;0.694;0.010;0.890;0.694;1.000;1.000;0.890
wemp;2045;0.890;1.000;0.709;0.010;0.890;0.709;1.000;1.000;0.890
wemp;2046;0.890;1.000;0.723;0.010;0.890;0.723;1.000;1.000;0.890
wemp;2047;0.890;1.000;0.739;0.010;0.890;0.739;1.000;1.000;0.890
wemp;2048;0.890;1.000;0.757;0.010;0.890;0.757;1.000;1.000;0.890
wemp;2049;0.890;1.000;0.775;0.010;0.890;0.775;1.000;1.000;0.890
wemp;2050;0.890;1.000;0.794;0.010;0.890;0.794;1.000;1.000;0.890
wemh;2018;0.910;1.000;0.891;0.100;0.910;0.891;1.000;1.000;0.910
wemh;2019;0.909;1.000;0.867;0.100;0.909;0.867;1.000;1.000;0.909
wemh;2020;0.907;1.000;0.875;0.100;0.907;0.875;1.000;1.000;0.907
wemh;2021;0.904;1.000;0.778;0.100;0.904;0.778;1.000;1.000;0.904
wemh;2022;0.902;1.000;0.823;0.100;0.902;0.823;1.000;1.000;0.902
wemh;2023;0.900;1.000;0.859;0.082;0.900;0.859;1.000;1.000;0.900
wemh;2024;0.897;1.000;0.639;0.068;0.897;0.639;1.000;1.000;0.897
wemh;2025;0.895;1.000;0.627;0.050;0.895;0.627;1.000;1.000;0.895
wemh;2026;0.892;1.000;0.631;0.010;0.892;0.631;1.000;1.000;0.892
wemh;2027;0.890;1.000;0.620;0.010;0.890;0.620;1.000;1.000;0.890
wemh;2028;0.890;1.000;0.610;0.010;0.890;0.610;1.000;1.000;0.890
wemh;2029;0.890;1.000;0.600;0.010;0.890;0.600;1.000;1.000;0.890
wemh;2030;0.890;1.000;0.574;0.010;0.890;0.574;1.000;1.000;0.890
wemh;2031;0.890;1.000;0.579;0.010;0.890;0.579;1.000;1.000;0.890
wemh;2032;0.890;1.000;0.584;0.010;0.890;0.584;1.000;1.000;0.890
wemh;2033;0.890;1.000;0.589;0.010;0.890;0.589;1.000;1.000;0.890
wemh;2034;0.890;1.000;0.595;0.010;0.890;0.595;1.000;1.000;0.890
wemh;2035;0.890;1.000;0.602;0.010;0.890;0.602;1.000;1.000;0.890
wemh;2036;0.890;1.000;0.609;0.010;0.890;0.609;1.000;1.000;0.890
wemh;2037;0.890;1.000;0.617;0.010;0.890;0.617;1.000;1.000;0.890
wemh;2038;0.890;1.000;0.626;0.010;0.890;0.626;1.000;1.000;0.890
wemh;2039;0.890;1.000;0.636;0.010;0.890;0.636;1.000;1.000;0.890
wemh;2040;0.890;1.000;0.646;0.010;0.890;0.646;1.000;1.000;0.890
wemh;2041;0.890;1.000;0.657;0.010;0.890;0.657;1.000;1.000;0.890
wemh;2042;0.890;1.000;0.669;0.010;0.890;0.669;1.000;1.000;0.890
wemh;2043;0.890;1.000;0.681;0.010;0.890;0.681;1.000;1.000;0.890
wemh;2044;0.890;1.000;0.694;0.010;0.890;0.694;1.000;1.000;0.890
wemh;2045;0.890;1.000;0.709;0.010;0.890;0.709;1.000;1.000;0.890
wemh;2046;0.890;1.000;0.723;0.010;0.890;0.723;1.000;1.000;0.890
wemh;2047;0.890;1.000;0.739;0.010;0.890;0.739;1.000;1.000;0.890
wemh;2048;0.890;1.000;0.757;0.010;0.890;0.757;1.000;1.000;0.890
wemh;2049;0.890;1.000;0.775;0.010;0.890;0.775;1.000;1.000;0.890
wemh;2050;0.890;1.000;0.794;0.010;0.890;0.794;1.000;1.000;0.890
weml;2018;0.910;1.000;0.891;0.100;0.910;0.891;1.000;1.000;0.910
weml;2019;0.909;1.000;0.867;0.100;0.909;0.867;1.000;1.000;0.909
weml;2020;0.907;1.000;0.875;0.100;0.907;0.875;1.000;1.000;0.907
weml;2021;0.904;1.000;0.778;0.100;0.904;0.778;1.000;1.000;0.904
weml;2022;0.902;1.000;0.823;0.100;0.902;0.823;1.000;1.000;0.902
weml;2023;0.900;1.000;0.859;0.082;0.900;0.859;1.000;1.000;0.900
weml;2024;0.897;1.000;0.639;0.068;0.897;0.639;1.000;1.000;0.897
weml;2025;0.895;1.000;0.627;0.050;0.895;0.627;1.000;1.000;0.895
weml;2026;0.892;1.000;0.631;0.010;0.892;0.631;1.000;1.000;0.892
weml;2027;0.890;1.000;0.620;0.010;0.890;0.620;1.000;1.000;0.890
weml;2028;0.890;1.000;0.610;0.010;0.890;0.610;1.000;1.000;0.890
weml;2029;0.890;1.000;0.600;0.010;0.890;0.600;1.000;1.000;0.890
weml;2030;0.890;1.000;0.574;0.010;0.890;0.574;1.000;1.000;0.890
weml;2031;0.890;1.000;0.579;0.010;0.890;0.579;1.000;1.000;0.890
weml;2032;0.890;1.000;0.584;0.010;0.890;0.584;1.000;1.000;0.890
weml;2033;0.890;1.000;0.589;0.010;0.890;0.589;1.000;1.000;0.890
weml;2034;0.890;1.000;0.595;0.010;0.890;0.595;1.000;1.000;0.890
weml;2035;0.890;1.000;0.602;0.010;0.890;0.602;1.000;1.000;0.890
weml;2036;0.890;1.000;0.609;0.010;0.890;0.609;1.000;1.000;0.890
weml;2037;0.890;1.000;0.617;0.010;0.890;0.617;1.000;1.000;0.890
weml;2038;0.890;1.000;0.626;0.010;0.890;0.626;1.000;1.000;0.890
weml;2039;0.890;1.000;0.636;0.010;0.890;0.636;1.000;1.000;0.890
weml;2040;0.890;1.000;0.646;0.010;0.890;0.646;1.000;1.000;0.890
weml;2041;0.890;1.000;0.657;0.010;0.890;0.657;1.000;1.000;0.890
weml;2042;0.890;1.000;0.669;0.010;0.890;0.669;1.000;1.000;0.890
weml;2043;0.890;1.000;0.681;0.010;0.890;0.681;1.000;1.000;0.890
weml;2044;0.890;1.000;0.694;0.010;0.890;0.694;1.000;1.000;0.890
weml;2045;0.890;1.000;0.709;0.010;0.890;0.709;1.000;1.000;0.890
weml;2046;0.890;1.000;0.723;0.010;0.890;0.723;1.000;1.000;0.890
weml;2047;0.890;1.000;0.739;0.010;0.890;0.739;1.000;1.000;0.890
weml;2048;0.890;1.000;0.757;0.010;0.890;0.757;1.000;1.000;0.890
weml;2049;0.890;1.000;0.775;0.010;0.890;0.775;1.000;1.000;0.890
weml;2050;0.890;1.000;0.794;0.010;0.890;0.794;1.000;1.000;0.890