mun;scenario;year;em;hjm
604;kasvu;2049;4;3
604;kasvu;2050;3;3
604;muutos;2018;180;137
604;muutos;2019;177;134
604;muutos;2020;173;134
604;muutos;2021;177;141
604;muutos;2022;162;126
604;muutos;2023;100;79
604;muutos;2024;96;76
604;muutos;2025;88;69
604;muutos;2026;79;62
604;muutos;2027;70;55
604;muutos;2028;61;48
604;muutos;2029;53;42
604;muutos;2030;44;35
604;muutos;2031;42;33
604;muutos;2032;40;31
604;muutos;2033;38;30
604;muutos;2034;36;28
604;muutos;2035;33;26
604;muutos;2036;32;25
604;muutos;2037;30;23
604;muutos;2038;28;22
604;muutos;2039;26;20
604;muutos;2040;25;19
604;muutos;2041;23;17
604;muutos;2042;21;16
604;muutos;2043;18;14
604;muutos;2044;16;13
604;muutos;2045;14;11
604;muutos;2046;13;10
604;muutos;2047;12;9
604;muutos;2048;11;8
604;muutos;2049;10;8
604;muutos;2050;9;7
604;saasto;2018;180;137
604;saasto;2019;177;134
604;saasto;2020;173;134
604;saasto;2021;177;141
604;saasto;2022;162;126
604;saasto;2023;100;79
604;saasto;2024;96;76
604;saasto;2025;88;69
604;saasto;2026;81;64
604;saasto;2027;75;58
604;saasto;2028;68;53
604;saasto;2029;62;48
604;saasto;2030;56;43
604;saasto;2031;53;41
604;saasto;2032;51;39
604;saasto;2033;49;38
604;saasto;2034;47;36
604;saasto;2035;45;34
604;saasto;2036;43;32
604;saasto;2037;40;31
604;saasto;2038;37;28
604;saasto;2039;31;24
604;saasto;2040;-10;-7
604;saasto;2041;-54;-41
604;saasto;2042;-69;-52
604;saasto;2043;-95;-72
604;saasto;2044;-99;-75
604;saasto;2045;-114;-87
604;saasto;2046;-118;-90
604;saasto;2047;-122;-93
604;saasto;2048;-127;-96
604;saasto;2049;-131;-100
604;saasto;2050;-135;-103
604;pysahdys;2018;180;137
604;pysahdys;2019;177;134
604;pysahdys;2020;173;134
604;pysahdys;2021;177;141
604;pysahdys;2022;162;126
604;pysahdys;2023;100;79
604;pysahdys;2024;96;76
604;pysahdys;2025;88;69
604;pysahdys;2026;81;63
604;pysahdys;2027;73;57
604;pysahdys;2028;66;52
604;pysahdys;2029;59;46
604;pysahdys;2030;51;40
604;pysahdys;2031;49;38
604;pysahdys;2032;46;36
604;pysahdys;2033;44;34
604;pysahdys;2034;41;32
604;pysahdys;2035;39;30
604;pysahdys;2036;37;28
604;pysahdys;2037;35;27
604;pysahdys;2038;33;25
604;pysahdys;2039;31;23
604;pysahdys;2040;29;22
604;pysahdys;2041;26;20
604;pysahdys;2042;24;18
604;pysahdys;2043;21;16
604;pysahdys;2044;19;14
604;pysahdys;2045;16;12
604;pysahdys;2046;15;11
604;pysahdys;2047;14;11
604;pysahdys;2048;13;10
604;pysahdys;2049;11;8
604;pysahdys;2050;5;4
837;wem;2018;180;137
837;wem;2019;177;134
837;wem;2020;173;134
837;wem;2021;176;141
837;wem;2022;151;118
837;wem;2023;101;80
837;wem;2024;94;74
837;wem;2025;85;67
837;wem;2026;77;61
837;wem;2027;70;55
837;wem;2028;62;49
837;wem;2029;54;43
837;wem;2030;47;37
837;wem;2031;45;35
837;wem;2032;43;34
837;wem;2033;41;32
837;wem;2034;39;31
837;wem;2035;37;29
837;wem;2036;35;28
837;wem;2037;34;26
837;wem;2038;32;25
837;wem;2039;30;23
837;wem;2040;28;22
837;wem;2041;26;20
837;wem;2042;24;19
837;wem;2043;22;17
837;wem;2044;20;15
837;wem;2045;18;14
837;wem;2046;17;13
837;wem;2047;16;12
837;wem;2048;15;11
837;wem;2049;14;11
837;wem;2050;13;10
837;eu80;2018;180;137
837;eu80;2019;177;134
837;eu80;2020;173;134
837;eu80;2021;176;141
837;eu80;2022;160;125
837;eu80;2023;99;78
837;eu80;2024;94;74
837;eu80;2025;85;67
837;eu80;2026;77;61
837;eu80;2027;70;55
837;eu80;2028;62;49
837;eu80;2029;54;43
837;eu80;2030;47;37
837;eu80;2031;45;35
837;eu80;2032;43;34
837;eu80;2033;41;32
837;eu80;2034;39;31
837;eu80;2035;37;29
837;eu80;2036;35;27
837;eu80;2037;33;26
837;eu80;2038;31;24
837;eu80;2039;29;22
837;eu80;2040;27;21
837;eu80;2041;2;1
837;eu80;2042;-24;-18
837;eu80;2043;-44;-34
837;eu80;2044;-65;-49
837;eu80;2045;-86;-65
837;eu80;2046;-89;-68
837;eu80;2047;-92;-70
837;eu80;2048;-95;-72
837;eu80;2049;-98;-74
837;eu80;2050;-101;-77
837;kasvu;2018;180;137
837;kasvu;2019;177;134
837;kasvu;2020;173;134
837;kasvu;2021;176;141
837;kasvu;2022;160;125
837;kasvu;2023;99;78
837;kasvu;2024;94;74
837;kasvu;2025;85;67
837;kasvu;2026;76;60
837;kasvu;2027;67;53
837;kasvu;2028;58;46
837;kasvu;2029;50;39
837;kasvu;2030;41;33
837;kasvu;2031;39;31
837;kasvu;2032;37;29
837;kasvu;2033;35;27
837;kasvu;2034;33;26
837;kasvu;2035;30;24
837;kasvu;2036;29;22
837;kasvu;2037;27;21
837;kasvu;2038;25;19
837;kasvu;2039;23;18
837;kasvu;2040;21;16
837;kasvu;2041;19;14
837;kasvu;2042;16;12
837;kasvu;2043;14;10
837;kasvu;2044;11;9
837;kasvu;2045;9;7
837;kasvu;2046;8;6
837;kasvu;2047;6;5
837;kasvu;2048;5;4
837;kasvu;2049;4;3
837;kasvu;2050;3;3
837;muutos;2018;180;137
837;muutos;2019;177;134
837;muutos;2020;173;134
837;muutos;2021;177;141
837;muutos;2022;162;126
837;muutos;2023;100;79
837;muutos;2024;96;76
837;muutos;2025;88;69
837;muutos;2026;79;62
837;muutos;2027;70;55
837;muutos;2028;61;48
837;muutos;2029;53;42
837;muutos;2030;44;35
837;muutos;2031;42;33
837;muutos;2032;40;31
837;muutos;2033;38;30
837;muutos;2034;36;28
837;muutos;2035;33;26
837;muutos;2036;32;25
837;muutos;2037;30;23
837;muutos;2038;28;22
837;muutos;2039;26;20
837;muutos;2040;25;19
837;muutos;2041;23;17
837;muutos;2042;21;16
837;muutos;2043;18;14
837;muutos;2044;16;13
837;muutos;2045;14;11
837;muutos;2046;13;10
837;muutos;2047;12;9
837;muutos;2048;11;8
837;muutos;2049;10;8
837;muutos;2050;9;7
837;saasto;2018;180;137
837;saasto;2019;177;134
837;saasto;2020;173;134
837;saasto;2021;177;141
837;saasto;2022;162;126
837;saasto;2023;100;79
837;saasto;2024;96;76
837;saasto;2025;88;69
837;saasto;2026;81;64
837;saasto;2027;75;58
837;saasto;2028;68;53
837;saasto;2029;62;48
837;saasto;2030;56;43
837;saasto;2031;53;41
837;saasto;2032;51;39
837;saasto;2033;49;38
837;saasto;2034;47;36
837;saasto;2035;45;34
837;saasto;2036;43;32
837;saasto;2037;40;31
837;saasto;2038;37;28
837;saasto;2039;31;24
837;saasto;2040;-10;-7
837;saasto;2041;-54;-41
837;saasto;2042;-69;-52
837;saasto;2043;-95;-72
837;saasto;2044;-99;-75
837;saasto;2045;-114;-87
837;saasto;2046;-118;-90
837;saasto;2047;-122;-93
837;saasto;2048;-127;-96
837;saasto;2049;-131;-100
837;saasto;2050;-135;-103
837;pysahdys;2018;180;137
837;pysahdys;2019;177;134
837;pysahdys;2020;173;134
837;pysahdys;2021;177;141
837;pysahdys;2022;162;126
837;pysahdys;2023;100;79
837;pysahdys;2024;96;76
837;pysahdys;2025;88;69
837;pysahdys;2026;81;63
837;pysahdys;2027;73;57
837;pysahdys;2028;66;52
837;pysahdys;2029;59;46
837;pysahdys;2030;51;40
837;pysahdys;2031;49;38
837;pysahdys;2032;46;36
837;pysahdys;2033;44;34
837;pysahdys;2034;41;32
837;pysahdys;2035;39;30
837;pysahdys;2036;37;28
837;pysahdys;2037;35;27
837;pysahdys;2038;33;25
837;pysahdys;2039;31;23
837;pysahdys;2040;29;22
837;pysahdys;2041;26;20
837;pysahdys;2042;24;18
837;pysahdys;2043;21;16
837;pysahdys;2044;19;14
837;pysahdys;2045;16;12
837;pysahdys;2046;15;11
837;pysahdys;2047;14;11
837;pysahdys;2048;13;10
837;pysahdys;2049;11;8
837;pysahdys;2050;5;4
922;wem;2018;180;137
922;wem;2019;177;134
922;wem;2020;173;134
922;wem;2021;176;141
922;wem;2022;151;118
922;wem;2023;101;80
922;wem;2024;94;74
922;wem;2025;85;67
922;wem;2026;77;61
922;wem;2027;70;55
922;wem;2028;62;49
922;wem;2029;54;43
922;wem;2030;47;37
922;wem;2031;45;35
922;wem;2032;43;34
922;wem;2033;41;32
922;wem;2034;39;31
922;wem;2035;37;29
922;wem;2036;35;28
922;wem;2037;34;26
922;wem;2038;32;25
922;wem;2039;30;23
922;wem;2040;28;22
922;wem;2041;26;20
922;wem;2042;24;19
922;wem;2043;22;17
922;wem;2044;20;15
922;wem;2045;18;14
922;wem;2046;17;13
922;wem;2047;16;12
922;wem;2048;15;11
922;wem;2049;14;11
922;wem;2050;13;10
922;eu80;2018;180;137
922;eu80;2019;177;134
922;eu80;2020;173;134
922;eu80;2021;176;141
922;eu80;2022;160;125
922;eu80;2023;99;78
922;eu80;2024;94;74
922;eu80;2025;85;67
922;eu80;2026;77;61
922;eu80;2027;70;55
922;eu80;2028;62;49
922;eu80;2029;54;43
922;eu80;2030;47;37
922;eu80;2031;45;35
922;eu80;2032;43;34
922;eu80;2033;41;32
922;eu80;2034;39;31
922;eu80;2035;37;29
922;eu80;2036;35;27
922;eu80;2037;33;26
922;eu80;2038;31;24
922;eu80;2039;29;22
922;eu80;2040;27;21
922;eu80;2041;2;1
922;eu80;2042;-24;-18
922;eu80;2043;-44;-34
922;eu80;2044;-65;-49
922;eu80;2045;-86;-65
922;eu80;2046;-89;-68
922;eu80;2047;-92;-70
922;eu80;2048;-95;-72
922;eu80;2049;-98;-74
922;eu80;2050;-101;-77
922;kasvu;2018;180;137
922;kasvu;2019;177;134
922;kasvu;2020;173;134
922;kasvu;2021;176;141
922;kasvu;2022;160;125
922;kasvu;2023;99;78
922;kasvu;2024;94;74
922;kasvu;2025;85;67
922;kasvu;2026;76;60
922;kasvu;2027;67;53
922;kasvu;2028;58;46
922;kasvu;2029;50;39
922;kasvu;2030;41;33
922;kasvu;2031;39;31
922;kasvu;2032;37;29
922;kasvu;2033;35;27
922;kasvu;2034;33;26
922;kasvu;2035;30;24
922;kasvu;2036;29;22
922;kasvu;2037;27;21
922;kasvu;2038;25;19
922;kasvu;2039;23;18
922;kasvu;2040;21;16
922;kasvu;2041;19;14
922;kasvu;2042;16;12
922;kasvu;2043;14;10
922;kasvu;2044;11;9
922;kasvu;2045;9;7
922;kasvu;2046;8;6
922;kasvu;2047;6;5
922;kasvu;2048;5;4
922;kasvu;2049;4;3
922;kasvu;2050;3;3
922;muutos;2018;180;137
922;muutos;2019;177;134
922;muutos;2020;173;134
922;muutos;2021;177;141
922;muutos;2022;162;126
922;muutos;2023;100;79
922;muutos;2024;96;76
922;muutos;2025;88;69
922;muutos;2026;79;62
922;muutos;2027;70;55
922;muutos;2028;61;48
922;muutos;2029;53;42
922;muutos;2030;44;35
922;muutos;2031;42;33
922;muutos;2032;40;31
922;muutos;2033;38;30
922;muutos;2034;36;28
922;muutos;2035;33;26
922;muutos;2036;32;25
922;muutos;2037;30;23
922;muutos;2038;28;22
922;muutos;2039;26;20
922;muutos;2040;25;19
922;muutos;2041;23;17
922;muutos;2042;21;16
922;muutos;2043;18;14
922;muutos;2044;16;13
922;muutos;2045;14;11
922;muutos;2046;13;10
922;muutos;2047;12;9
922;muutos;2048;11;8
922;muutos;2049;10;8
922;muutos;2050;9;7
922;saasto;2018;180;137
922;saasto;2019;177;134
922;saasto;2020;173;134
922;saasto;2021;177;141
922;saasto;2022;162;126
922;saasto;2023;100;79
922;saasto;2024;96;76
922;saasto;2025;88;69
922;saasto;2026;81;64
922;saasto;2027;75;58
922;saasto;2028;68;53
922;saasto;2029;62;48
922;saasto;2030;56;43
922;saasto;2031;53;41
922;saasto;2032;51;39
922;saasto;2033;49;38
922;saasto;2034;47;36
922;saasto;2035;45;34
922;saasto;2036;43;32
922;saasto;2037;40;31
922;saasto;2038;37;28
922;saasto;2039;31;24
922;saasto;2040;-10;-7
922;saasto;2041;-54;-41
922;saasto;2042;-69;-52
922;saasto;2043;-95;-72
922;saasto;2044;-99;-75
922;saasto;2045;-114;-87
922;saasto;2046;-118;-90
922;saasto;2047;-122;-93
922;saasto;2048;-127;-96
922;saasto;2049;-131;-100
922;saasto;2050;-135;-103
922;pysahdys;2018;180;137
922;pysahdys;2019;177;134
922;pysahdys;2020;173;134
922;pysahdys;2021;177;141
922;pysahdys;2022;162;126
922;pysahdys;2023;100;79
922;pysahdys;2024;96;76
922;pysahdys;2025;88;69
922;pysahdys;2026;81;63
922;pysahdys;2027;73;57
922;pysahdys;2028;66;52
922;pysahdys;2029;59;46
922;pysahdys;2030;51;40
922;pysahdys;2031;49;38
922;pysahdys;2032;46;36
922;pysahdys;2033;44;34
922;pysahdys;2034;41;32
922;pysahdys;2035;39;30
922;pysahdys;2036;37;28
922;pysahdys;2037;35;27
922;pysahdys;2038;33;25
922;pysahdys;2039;31;23
922;pysahdys;2040;29;22
922;pysahdys;2041;26;20
922;pysahdys;2042;24;18
922;pysahdys;2043;21;16
922;pysahdys;2044;19;14
922;pysahdys;2045;16;12
922;pysahdys;2046;15;11
922;pysahdys;2047;14;11
922;pysahdys;2048;13;10
922;pysahdys;2049;11;8
922;pysahdys;2050;5;4
980;wem;2018;0;0
980;wem;2019;0;0
980;wem;2020;0;0
980;wem;2021;0;0
980;wem;2022;0;0
980;wem;2023;0;0
980;wem;2024;0;0
980;wem;2025;0;0
980;wem;2026;0;0
980;wem;2027;0;0
980;wem;2028;0;0
980;wem;2029;0;0
980;wem;2030;0;0
980;wem;2031;0;0
980;wem;2032;0;0
980;wem;2033;0;0
980;wem;2034;0;0
980;wem;2035;0;0
980;wem;2036;0;0
980;wem;2037;0;0
980;wem;2038;0;0
980;wem;2039;0;0
980;wem;2040;0;0
980;wem;2041;0;0
980;wem;2042;0;0
980;wem;2043;0;0
980;wem;2044;0;0
980;wem;2045;0;0
980;wem;2046;0;0
980;wem;2047;0;0
980;wem;2048;0;0
980;wem;2049;0;0
980;wem;2050;0;0
980;eu80;2018;0;0
980;eu80;2019;0;0
980;eu80;2020;0;0
980;eu80;2021;0;0
980;eu80;2022;0;0
980;eu80;2023;0;0
980;eu80;2024;0;0
980;eu80;2025;0;0
980;eu80;2026;0;0
980;eu80;2027;0;0
980;eu80;2028;0;0
980;eu80;2029;0;0
980;eu80;2030;0;0
980;eu80;2031;0;0
980;eu80;2032;0;0
980;eu80;2033;0;0
980;eu80;2034;0;0
980;eu80;2035;0;0
980;eu80;2036;0;0
980;eu80;2037;0;0
980;eu80;2038;0;0
980;eu80;2039;0;0
980;eu80;2040;0;0
980;eu80;2041;0;0
980;eu80;2042;0;0
980;eu80;2043;0;0
980;eu80;2044;0;0
980;eu80;2045;0;0
980;eu80;2046;0;0
980;eu80;2047;0;0
980;eu80;2048;0;0
980;eu80;2049;0;0
980;eu80;2050;0;0
980;kasvu;2018;0;0
980;kasvu;2019;0;0
980;kasvu;2020;0;0
980;kasvu;2021;0;0
980;kasvu;2022;0;0
980;kasvu;2023;0;0
980;kasvu;2024;0;0
980;kasvu;2025;0;0
980;kasvu;2026;0;0
980;kasvu;2027;0;0
980;kasvu;2028;0;0
980;kasvu;2029;0;0
980;kasvu;2030;0;0
980;kasvu;2031;0;0
980;kasvu;2032;0;0
980;kasvu;2033;0;0
980;kasvu;2034;0;0
980;kasvu;2035;0;0
980;kasvu;2036;0;0
980;kasvu;2037;0;0
980;kasvu;2038;0;0
980;kasvu;2039;0;0
980;kasvu;2040;0;0
980;kasvu;2041;0;0
980;kasvu;2042;0;0
980;kasvu;2043;0;0
980;kasvu;2044;0;0
980;kasvu;2045;0;0
980;kasvu;2046;0;0
980;kasvu;2047;0;0
980;kasvu;2048;0;0
980;kasvu;2049;0;0
980;kasvu;2050;0;0
980;muutos;2018;0;0
980;muutos;2019;0;0
980;muutos;2020;0;0
980;muutos;2021;0;0
980;muutos;2022;0;0
980;muutos;2023;0;0
980;muutos;2024;0;0
980;muutos;2025;0;0
980;muutos;2026;0;0
980;muutos;2027;0;0
980;muutos;2028;0;0
980;muutos;2029;0;0
980;muutos;2030;0;0
980;muutos;2031;0;0
980;muutos;2032;0;0
980;muutos;2033;0;0
980;muutos;2034;0;0
980;muutos;2035;0;0
980;muutos;2036;0;0
980;muutos;2037;0;0
980;muutos;2038;0;0
980;muutos;2039;0;0
980;muutos;2040;0;0
980;muutos;2041;0;0
980;muutos;2042;0;0
980;muutos;2043;0;0
980;muutos;2044;0;0
980;muutos;2045;0;0
980;muutos;2046;0;0
980;muutos;2047;0;0
980;muutos;2048;0;0
980;muutos;2049;0;0
980;muutos;2050;0;0
980;saasto;2018;0;0
980;saasto;2019;0;0
980;saasto;2020;0;0
980;saasto;2021;0;0
980;saasto;2022;0;0
980;saasto;2023;0;0
980;saasto;2024;0;0
980;saasto;2025;0;0
980;saasto;2026;0;0
980;saasto;2027;0;0
980;saasto;2028;0;0
980;saasto;2029;0;0
980;saasto;2030;0;0
980;saasto;2031;0;0
980;saasto;2032;0;0
980;saasto;2033;0;0
980;saasto;2034;0;0
980;saasto;2035;0;0
980;saasto;2036;0;0
980;saasto;2037;0;0
980;saasto;2038;0;0
980;saasto;2039;0;0
980;saasto;2040;0;0
980;saasto;2041;0;0
980;saasto;2042;0;0
980;saasto;2043;0;0
980;saasto;2044;0;0
980;saasto;2045;0;0
980;saasto;2046;0;0
980;saasto;2047;0;0
980;saasto;2048;0;0
980;saasto;2049;0;0
980;saasto;2050;0;0
980;pysahdys;2018;0;0
980;pysahdys;2019;0;0
980;pysahdys;2020;0;0
980;pysahdys;2021;0;0
980;pysahdys;2022;0;0
980;pysahdys;2023;0;0
980;pysahdys;2024;0;0
980;pysahdys;2025;0;0
980;pysahdys;2026;0;0
980;pysahdys;2027;0;0
980;pysahdys;2028;0;0
980;pysahdys;2029;0;0
980;pysahdys;2030;0;0
980;pysahdys;2031;0;0
980;pysahdys;2032;0;0
980;pysahdys;2033;0;0
980;pysahdys;2034;0;0
980;pysahdys;2035;0;0
980;pysahdys;2036;0;0
980;pysahdys;2037;0;0
980;pysahdys;2038;0;0
980;pysahdys;2039;0;0
980;pysahdys;2040;0;0
980;pysahdys;2041;0;0
980;pysahdys;2042;0;0
980;pysahdys;2043;0;0
980;pysahdys;2044;0;0
980;pysahdys;2045;0;0
980;pysahdys;2046;0;0
980;pysahdys;2047;0;0
980;pysahdys;2048;0;0
980;pysahdys;2049;0;0
980;pysahdys;2050;0;0
;;;;
49;pysahdys;2020;156;156
49;pysahdys;2021;130;130
49;pysahdys;2022;160;160
49;pysahdys;2023;130;130
49;pysahdys;2024;106;106
49;pysahdys;2025;106;106
49;pysahdys;2026;100;100
49;pysahdys;2027;85;85
49;pysahdys;2028;75;75
49;pysahdys;2029;65;65
49;pysahdys;2030;60;60
49;pysahdys;2031;55;55
49;pysahdys;2032;50;50
49;pysahdys;2033;40;40
49;pysahdys;2034;30;30
49;pysahdys;2035;20;20
49;pysahdys;2036;15;15
49;pysahdys;2037;10;10
49;pysahdys;2038;10;10
49;pysahdys;2039;10;10
49;pysahdys;2040;10;10
49;pysahdys;2041;5;5
49;pysahdys;2042;5;5
49;pysahdys;2043;5;5
49;pysahdys;2044;5;5
49;pysahdys;2045;5;5
49;pysahdys;2046;5;5
49;pysahdys;2047;5;5
49;pysahdys;2048;5;5
49;pysahdys;2049;5;5
49;pysahdys;2050;5;5
49;wem;2020;156;156
49;wem;2021;130;130
49;wem;2022;160;160
49;wem;2023;106;106
49;wem;2024;60;60
49;wem;2025;40;40
49;wem;2026;30;30
49;wem;2027;20;20
49;wem;2028;15;15
49;wem;2029;10;10
49;wem;2030;6;6
49;wem;2031;6;6
49;wem;2032;6;6
49;wem;2033;5;5
49;wem;2034;5;5
49;wem;2035;5;5
49;wem;2036;4;4
49;wem;2037;4;4
49;wem;2038;4;4
49;wem;2039;3;3
49;wem;2040;3;3
49;wem;2041;3;3
49;wem;2042;2;2
49;wem;2043;2;2
49;wem;2044;2;2
49;wem;2045;1;1
49;wem;2046;1;1
49;wem;2047;1;1
49;wem;2048;1;1
49;wem;2049;1;1
49;wem;2050;1;1
49;saasto;2020;154;154
49;saasto;2021;127;127
49;saasto;2022;155;155
49;saasto;2023;99;99
49;saasto;2024;55;55
49;saasto;2025;31;31
49;saasto;2026;23;23
49;saasto;2027;15;15
49;saasto;2028;11;11
49;saasto;2029;8;8
49;saasto;2030;5;5
49;saasto;2031;4;4
49;saasto;2032;4;4
49;saasto;2033;3;3
49;saasto;2034;3;3
49;saasto;2035;2;2
49;saasto;2036;2;2
49;saasto;2037;1;1
49;saasto;2038;1;1
49;saasto;2039;1;1
49;saasto;2040;0;0
49;saasto;2041;0;0
49;saasto;2042;0;0
49;saasto;2043;0;0
49;saasto;2044;0;0
49;saasto;2045;0;0
49;saasto;2046;0;0
49;saasto;2047;0;0
49;saasto;2048;0;0
49;saasto;2049;0;0
49;saasto;2050;0;0
49;kasvu;2020;151;151
49;kasvu;2021;124;124
49;kasvu;2022;149;149
49;kasvu;2023;91;91
49;kasvu;2024;49;49
49;kasvu;2025;22;22
49;kasvu;2026;16;16
49;kasvu;2027;10;10
49;kasvu;2028;8;8
49;kasvu;2029;5;5
49;kasvu;2030;3;3
49;kasvu;2031;2;2
49;kasvu;2032;1;1
49;kasvu;2033;0;0
49;kasvu;2034;0;0
49;kasvu;2035;0;0
49;kasvu;2036;0;0
49;kasvu;2037;0;0
49;kasvu;2038;0;0
49;kasvu;2039;0;0
49;kasvu;2040;0;0
49;kasvu;2041;0;0
49;kasvu;2042;0;0
49;kasvu;2043;0;0
49;kasvu;2044;0;0
49;kasvu;2045;0;0
49;kasvu;2046;0;0
49;kasvu;2047;0;0
49;kasvu;2048;0;0
49;kasvu;2049;0;0
49;kasvu;2050;0;0
49;eu80;2020;149;149
49;eu80;2021;121;121
49;eu80;2022;144;144
49;eu80;2023;84;84
49;eu80;2024;44;44
49;eu80;2025;13;13
49;eu80;2026;9;9
49;eu80;2027;5;5
49;eu80;2028;4;4
49;eu80;2029;3;3
49;eu80;2030;2;2
49;eu80;2031;2;2
49;eu80;2032;2;2
49;eu80;2033;2;2
49;eu80;2034;2;2
49;eu80;2035;2;2
49;eu80;2036;1;1
49;eu80;2037;1;1
49;eu80;2038;1;1
49;eu80;2039;0;0
49;eu80;2040;0;0
49;eu80;2041;0;0
49;eu80;2042;0;0
49;eu80;2043;0;0
49;eu80;2044;0;0
49;eu80;2045;0;0
49;eu80;2046;0;0
49;eu80;2047;0;0
49;eu80;2048;0;0
49;eu80;2049;0;0
49;eu80;2050;0;0
49;muutos;2020;146;146
49;muutos;2021;118;118
49;muutos;2022;138;138
49;muutos;2023;76;76
49;muutos;2024;38;38
49;muutos;2025;4;4
49;muutos;2026;2;2
49;muutos;2027;0;0
49;muutos;2028;0;0
49;muutos;2029;0;0
49;muutos;2030;0;0
49;muutos;2031;0;0
49;muutos;2032;0;0
49;muutos;2033;0;0
49;muutos;2034;0;0
49;muutos;2035;0;0
49;muutos;2036;0;0
49;muutos;2037;0;0
49;muutos;2038;0;0
49;muutos;2039;0;0
49;muutos;2040;0;0
49;muutos;2041;0;0
49;muutos;2042;0;0
49;muutos;2043;0;0
49;muutos;2044;0;0
49;muutos;2045;0;0
49;muutos;2046;0;0
49;muutos;2047;0;0
49;muutos;2048;0;0
49;muutos;2049;0;0
49;muutos;2050;0;0
